a	a:
hati	h a: t I
hatri	h a: t r I
hatrið	h a: t r I D
hatt	h a h t
hatta	h a h t a
hattagerðarmanni	h a h t a c E r D a r m a n I
hattar	h a h t a r
hatti	h a h t I
hattinn	h a h t I n
hattinum	h a h t I n Y m
hattur	h a h t Y r
hatur	h a: t Y r
haturs	h a: t Y r_0 s
hauga	h 9Y: G a
haugana	h 9Y: G a n a
haugnum	h 9Y k n Y m
haugum	h 9Y: G Y m
haugur	h 9Y: G Y r
hauk	h 9Y: k
hauka	h 9Y: k a
haukanna	h 9Y: k a n a
haukar	h 9Y: k a r
haukarnir	h 9Y: k a t n I r
hauki	h 9Y: c I
hauks	h 9Y k s
hauksdóttir	h 9Y k s t ou h t I r
hauksdóttur	h 9Y k s t ou h t Y r
hauksson	h 9Y k s O n
haukssonar	h 9Y k s O n a r
haukssyni	h 9Y k s I n I
haukum	h 9Y: k Y m
haukunum	h 9Y: k O n Y m
haukur	h 9Y: k Y r
haus	h 9Y: s
hausa	h 9Y: s a
hausarann	h 9Y: s a r a n
hausaranum	h 9Y: s a r a n Y m
hausarnir	h 9Y: s a t n I r
hausinn	h 9Y: s I n
hauskúpu	h 9Y: s k u p Y
hausnum	h 9Y s t n Y m
haust	h 9Y s t
haustdag	h 9Y s t a G
haustdögum	h 9Y s t 9 G Y m
hausti	h 9Y s t I
haustin	h 9Y s t I n
haustinu	h 9Y s t I n Y
haustið	h 9Y s t I D
haustmánuðum	h 9Y s t m au n Y D Y m
hausts	h 9Y s t s
haustsins	h 9Y s t s I n s
haustönn	h 9Y s t 9 n
hausverk	h 9Y: s v E r_0 k
havanavindla	h a: v a n a v I n t l a
heba	h E: p a
hebba	h E p a
hebresku	h E: p r E s k Y
hebu	h E: p Y
hedda	h E t a
heddu	h E t Y
hef	h E: v
hefi	h E: v I
hefir	h E: v I r
hefirðu	h E: v I r D Y
hefja	h E v j a
hefjast	h E v j a s t
hefji	h E v j I
hefjist	h E v j I s t
hefjum	h E v j Y m
hefna	h E p n a
hefnast	h E p n a s t
hefnd	h E m t
hefnda	h E m t a
hefndar	h E m t a r
hefndin	h E m t I n
hefndum	h E m t Y m
hefst	h E f s t
heft	h E f t
hefta	h E f t a
hefti	h E f t I
heftin	h E f t I n
heftinu	h E f t I n Y
hefur	h E: v Y r
hefurðu	h E: v Y r Y
hefð	h E v D
hefðar	h E v D a r
hefðarinnar	h E v D a r I n a r
hefðbundin	h E v D p Y n t I n
hefðbundinn	h E v D p Y n t I n
hefðbundinna	h E v D p Y n t I n a
hefðbundinnar	h E v D p Y n t I n a r
hefðbundinni	h E v D p Y n t I n I
hefðbundins	h E v D p Y n t I n s
hefðbundið	h E v D p Y n t I D
hefðbundna	h E v D p Y n t n a
hefðbundnar	h E v D p Y n t n a r
hefðbundnari	h E v D p Y n t n a r I
hefðbundnir	h E v D p Y n t n I r
hefðbundnu	h E v D p Y n t n Y
hefðbundnum	h E v D p Y n t n Y m
hefði	h E v D I
hefðin	h E v D I n
hefðina	h E v D I n a
hefðinni	h E v D I n I
hefðir	h E v D I r
hefðirðu	h E v D I r Y
hefðu	h E v D Y
hefðum	h E v D Y m
hefður	h E v D Y r
hefðuð	h E v D Y D
hegg	h E k
heggur	h E k Y r
hegna	h E k n a
hegranesi	h E G r a n E: s I
hegranesþing	h E G r a n E s T i N k
hegrar	h E G r a r
hegða	h E G D a
hegðan	h E G D a n
hegðar	h E G D a r
hegðað	h E G D a D
hegðaði	h E G D a D I
hegðun	h E G D Y n
hegðunar	h E G D Y n a r
hegðunarlegir	h E G D Y n a r l E: j I r
hegðuðu	h E G D Y D Y
hei	h ei:
heiftarleg	h ei f t a r l E G
heiftarlega	h ei f t a r l E G a
heiftarlegri	h ei f t a r l E G r I
heiftin	h ei f t I n
heiglum	h ei k l Y m
heigull	h ei: G Y t l_0
heil	h ei: l
heila	h ei: l a
heilablóðfall	h ei: l a p l ou D f a t l_0
heilablóðfallsskaðaðra	h ei: l a p l ou D f a l s k a: D a D r a
heilaga	h ei: l a G a
heilagan	h ei: l a G a n
heilagi	h ei: l ai j I
heilagir	h ei: l ai j I r
heilagleika	h ei: l a G l ei: k a
heilagra	h ei: l a G r a
heilagrar	h ei: l a G r a r
heilags	h ei: l a x s
heilagt	h ei: l a x t
heilagur	h ei: l a G Y r
heilahimnubólgu	h ei: l a h I m n Y p ou l k Y
heilan	h ei: l a n
heilann	h ei: l a n
heilans	h ei: l a n s
heilanum	h ei: l a n Y m
heilar	h ei: l a r
heilasellurnar	h ei: l a s E l Y t n a r
heilbrigt	h ei l p r I x t
heilbrigð	h ei l p r I G D
heilbrigða	h ei l p r I G D a
heilbrigði	h ei l p r I G D I
heilbrigðir	h ei l p r I G D I r
heilbrigðis	h ei l p r I G D I s
heilbrigðiseftirlits	h ei l p r I G D I s E f t I r l I t s
heilbrigðisstétta	h ei l p r I G D I s t j E h t a
heilbrigðisþjónustunnar	h ei l p r I G D I s T j ou: n Y s t Y n a r
heilbrigðisþjónustunni	h ei l p r I G D I s T j ou: n Y s t Y n I
heilbrigðri	h ei l p r I G D r I
heilbrigðu	h ei l p r I G D Y
heilbrigðum	h ei l p r I G D Y m
heilbrigður	h ei l p r I G D Y r
heild	h ei l t
heildar	h ei l t a r
heildarinnar	h ei l t a r I n a r
heildarmyndina	h ei l t a r m I n t I n a
heildina	h ei l t I n a
heildinni	h ei l t I n I
heildsala	h ei l t s a l a
heildsalinn	h ei l t s a l I n
heildstætt	h ei l t s t ai h t
heildstæð	h ei l t s t ai D
heildstæða	h ei l t s t ai D a
heildsölu	h ei l t s 9 l Y
heili	h ei: l I
heilindi	h ei: l I n t I
heilindum	h ei: l I n t Y m
heilinn	h ei: l I n
heilir	h ei: l I r
heilkenni	h ei l c E n I
heill	h ei t l_0
heilla	h ei t l a
heillandi	h ei t l a n t I
heillar	h ei t l a r
heillast	h ei t l a s t
heillað	h ei t l a D
heillaði	h ei t l a D I
heillaðist	h ei t l a D I s t
heillaður	h ei t l a D Y r
heillengi	h ei l ei J c I
heilli	h ei t l I
heillin	h ei t l I n
heillum	h ei t l Y m
heilluðu	h ei t l Y D Y
heilmargt	h ei l m a r_0 t
heilmikil	h ei l m I c I l
heilmikið	h ei l m I c I D
heilmikla	h ei l m I h k l a
heilmiklu	h ei l m I h k l Y
heilnæmt	h ei l n ai m_0 t
heils	h ei l s
heilsa	h ei l s a
heilsan	h ei l s a n
heilsar	h ei l s a r
heilsast	h ei l s a s t
heilsað	h ei l s a D
heilsaði	h ei l s a D I
heilsaðu	h ei l s a D Y
heilshugar	h ei l s h Y G a r
heilsteypt	h ei l s t ei f t
heilsteypta	h ei l s t ei f t a
heilsteyptur	h ei l s t ei f t Y r
heilsu	h ei l s Y
heilsubrests	h ei l s Y p r E s t s
heilsubótar	h ei l s Y p ou: t a r
heilsugæslunnar	h ei l s Y c ai s t l Y n a r
heilsugæslunni	h ei l s Y c ai s t l Y n I
heilsugæsluumdæmin	h ei l s Y c ai s t l Y Y m t ai m I n
heilsuhraustur	h ei l s Y r_0 9Y s t Y r
heilsuhælin	h ei l s Y h ai: l I n
heilsuhælið	h ei l s Y h ai: l I D
heilsuna	h ei l s Y n a
heilsunni	h ei l s Y n I
heilsuðu	h ei l s Y D Y
heilsuðumst	h ei l s Y D Y m s t
heilsuðust	h ei l s Y D Y s t
heilt	h ei l_0 t
heilu	h ei: l Y
heilum	h ei: l Y m
heilun	h ei: l Y n
heilvita	h ei l v I t a
heilög	h ei: l 9 G
heilögu	h ei: l 9 G Y
heilögum	h ei: l 9 G Y m
heim	h ei: m
heima	h ei: m a
heimabæ	h ei: m a p ai:
heimaey	h ei: m a ei:
heimahaganna	h ei: m a h a: G a n a
heiman	h ei: m a n
heimana	h ei: m a n a
heimar	h ei: m a r
heimastjórnarinnar	h ei: m a s t j ou r t n a r I n a r
heimasætur	h ei: m a s ai: t Y r
heimasíðum	h ei: m a s i: D Y m
heimatúnið	h ei: m a t u: n I D
heimaverkefnin	h ei: m a v E r_0 k E p n I n
heimavinnandi	h ei: m a v I n a n t I
heimdallar	h ei m t a t l a r
heimdraganum	h ei m t r a G a n Y m
heimi	h ei: m I
heimil	h ei: m I l
heimila	h ei: m I l a
heimilanna	h ei: m I l a n a
heimilar	h ei: m I l a r
heimilað	h ei: m I l a D
heimilaði	h ei: m I l a D I
heimild	h ei: m I l t
heimilda	h ei: m I l t a
heimildar	h ei: m I l t a r
heimildin	h ei: m I l t I n
heimildir	h ei: m I l t I r
heimildirnar	h ei: m I l t I t n a r
heimildum	h ei: m I l t Y m
heimili	h ei: m I l I
heimilin	h ei: m I l I n
heimilinu	h ei: m I l I n Y
heimilis	h ei: m I l I s
heimilisfólkið	h ei: m I l I s f ou l_0 c I D
heimilisföng	h ei: m I l I s f 9Y N k
heimilisföngum	h ei: m I l I s f 9Y N k Y m
heimilisins	h ei: m I l I s I n s
heimilislæknar	h ei: m I l I s t l ai h k n a r
heimilisstörfin	h ei: m I l I s t 9 r v I n
heimilið	h ei: m I l I D
heimill	h ei: m I t l_0
heimilt	h ei: m I l_0 t
heimilum	h ei: m I l Y m
heimilunum	h ei: m I l O n Y m
heimiluð	h ei: m I l Y D
heiminn	h ei: m I n
heiminum	h ei: m I n Y m
heimir	h ei: m I r
heimis	h ei: m I s
heimkomuna	h ei m k O m Y n a
heimleiðinni	h ei m l ei D I n I
heimleiðis	h ei m l ei D I s
heimreiðina	h ei m r ei D I n a
heimreiðinni	h ei m r ei D I n I
heims	h ei m s
heimsbyggðarinnar	h ei m s p I G D a r I n a r
heimsbyggðin	h ei m s p I G D I n
heimsbyggðina	h ei m s p I G D I n a
heimsbyggðinni	h ei m s p I G D I n I
heimsendir	h ei m s E n t I r
heimsfrægur	h ei m s f r ai G Y r
heimsfrægð	h ei m s f r ai G D
heimsfótbolti	h ei m s f ou p O l_0 t I
heimsins	h ei m s I n s
heimsk	h ei m s k
heimska	h ei m s k a
heimskan	h ei m s k a n
heimskari	h ei m s k a r I
heimskingi	h ei m s c i J c I
heimskir	h ei m s c I r
heimskringlu	h ei m s k r i N l Y
heimskur	h ei m s k Y r
heimsmarkaðsverði	h ei m s m a r_0 k a D s v E r D I
heimsmeistarakeppninnar	h ei m s m ei s t a r a c E h p n I n a r
heimsmeistaramótsins	h ei m s m ei s t a r a m ou t s I n s
heimsmeistarinn	h ei m s m ei s t a r I n
heimspekilegum	h ei m s p E c I l E G Y m
heimspekinga	h ei m s p E c i N k a
heimspekingar	h ei m s p E c i N k a r
heimspekingsins	h ei m s p E c i N s I n s
heimspekingur	h ei m s p E c i N k Y r
heimspekingurinn	h ei m s p E c i N k Y r I n
heimspekinnar	h ei m s p E c I n a r
heimsstyrjöldin	h ei m s t I r j 9 l t I n
heimsstyrjöldina	h ei m s t I r j 9 l t I n a
heimsstyrjöldinni	h ei m s t I r j 9 l t I n I
heimsveldisins	h ei m s v E l t I s I n s
heimsveldið	h ei m s v E l t I D
heimsálfa	h ei m s au l v a
heimsálfu	h ei m s au l v Y
heimsálfum	h ei m s au l v Y m
heimsæki	h ei m s ai c I
heimsækir	h ei m s ai c I r
heimsækja	h ei m s ai c a
heimsókna	h ei m s ou h k n a
heimsóknar	h ei m s ou h k n a r
heimsóknarinnar	h ei m s ou h k n a r I n a r
heimsóknartímar	h ei m s ou h k n a r t i: m a r
heimsóknin	h ei m s ou h k n I n
heimsókninni	h ei m s ou h k n I n I
heimsóknir	h ei m s ou h k n I r
heimsóknirnar	h ei m s ou h k n I t n a r
heimsóknum	h ei m s ou h k n Y m
heimsótti	h ei m s ou h t I
heimsóttir	h ei m s ou h t I r
heimsóttu	h ei m s ou h t Y
heimsóttum	h ei m s ou h t Y m
heimta	h ei m_0 t a
heimtar	h ei m_0 t a r
heimtað	h ei m_0 t a D
heimtaði	h ei m_0 t a D I
heimtingu	h ei m_0 t i N k Y
heimtuðu	h ei m_0 t Y D Y
heimur	h ei: m Y r
heimurinn	h ei: m Y r I n
heit	h ei: t
heita	h ei: t a
heitan	h ei: t a n
heitar	h ei: t a r
heitara	h ei: t a r a
heitari	h ei: t a r I
heitasta	h ei: t a s t a
heiti	h ei: t I
heitin	h ei: t I n
heitinn	h ei: t I n
heitins	h ei: t I n s
heitinu	h ei: t I n Y
heitir	h ei: t I r
heitirðu	h ei: t I r Y
heitið	h ei: t I D
heitnum	h ei h t n Y m
heitri	h ei: t r I
heitt	h ei h t
heitu	h ei: t Y
heitum	h ei: t Y m
heitur	h ei: t Y r
heiða	h ei: D a
heiðabæ	h ei: D a p ai:
heiðan	h ei: D a n
heiðar	h ei: D a r
heiðarlegir	h ei: D a r l ei j I r
heiðarlegum	h ei: D a r l E G Y m
heiðars	h ei: D a r_0 s
heiðblár	h ei D p l au r
heiðdís	h ei D t i s
heiði	h ei: D I
heiðin	h ei: D I n
heiðina	h ei: D I n a
heiðingjar	h ei: D i J c a r
heiðinni	h ei: D I n I
heiðmar	h ei D m a r
heiðmörk	h ei D m 9 r_0 k
heiðni	h ei D n I
heiðnum	h ei D n Y m
heiðra	h ei D r a
heiðraði	h ei D r a D I
heiðraðir	h ei D r a D I r
heiðraður	h ei D r a D Y r
heiðri	h ei D r I
heiðríkja	h ei D r i c a
heiðríkju	h ei D r i c Y
heiðrún	h ei D r u n
heiðrúnar	h ei D r u n a r
heiðskír	h ei D s c i r
heiðskírt	h ei D s c i r_0 t
heiðskíru	h ei D s c i r Y
heiðu	h ei: D Y
heiðum	h ei: D Y m
heiður	h ei: D Y r
heiðurinn	h ei: D Y r I n
heiðurs	h ei: D Y r_0 s
heiðvirð	h ei D v I r D
hekla	h E h k l a
heklaði	h E h k l a D I
heklu	h E h k l Y
heklunálina	h E h k l Y n au: l I n a
hektara	h E x t a r a
hektarar	h E x t a r a r
hekturum	h E x t Y r Y m
hel	h E: l
helber	h E l p E r
held	h E l t
heldra	h E l t r a
heldri	h E l t r I
heldur	h E l t Y r
heldurðu	h E l t Y r Y
helena	h E: l E n a
helenu	h E: l E n Y
helg	h E l k
helga	h E l k a
helgafells	h E l k a f E l s
helgan	h E l k a n
helgar	h E l k a r
helgarhopp	h E l k a r h O h p
helgarinnar	h E l k a r I n a r
helgarskapið	h E l k a r s k a: p I D
helgarstemmningu	h E l k a r s t E m i N k Y
helgast	h E l k a s t
helgasta	h E l k a s t a
helgað	h E l k a D
helgaði	h E l k a D I
helgaðir	h E l k a D I r
helgaður	h E l k a D Y r
helgi	h E l c I
helgihaldinu	h E l c I h a l t I n Y
helgimyndirnar	h E l c I m I n t I t n a r
helgimyndunum	h E l c I m I n t O n Y m
helgin	h E l c I n
helgina	h E l c I n a
helgisiðum	h E l c I s I: D Y m
helgra	h E l k r a
helgu	h E l k Y
helgum	h E l k Y m
helgumst	h E l k Y m s t
helgur	h E l k Y r
helgustu	h E l k Y s t Y
helguð	h E l k Y D
helguðu	h E l k Y D Y
heljar	h E l j a r
heljardalsbóndinn	h E l j a r t a l s p ou n t I n
heljarinnar	h E l j a r I n a r
helju	h E l j Y
hella	h E t l a
hellarnir	h E t l a t n I r
hellast	h E t l a s t
helli	h E t l I
helling	h E t l i N k
hellingur	h E t l i N k Y r
hellinum	h E t l I n Y m
hellir	h E t l I r
hellirinn	h E t l I r I n
hellis	h E t l I s
hellisbúans	h E t l I s p u: a n s
hellisheiðina	h E t l I s h ei: D I n a
hellisins	h E t l I s I n s
hellisskútum	h E t l I s k u: t Y m
hellist	h E t l I s t
hellið	h E t l I D
hellnum	h E t l n Y m
hellt	h E l_0 t
hellti	h E l_0 t I
helltist	h E l_0 t I s t
helltu	h E l_0 t Y
helltum	h E l_0 t Y m
helltust	h E l_0 t Y s t
hellu	h E t l Y
hellubjarginu	h E t l Y p j a r c I n Y
hellugnúpsskarð	h E t l Y k n u p s k a r D
hellugorm	h E t l Y k O r m
hellum	h E t l Y m
helluna	h E t l Y n a
hellunni	h E t l Y n I
hellunum	h E t l O n Y m
hellur	h E t l Y r
helming	h E l m i N k
helminga	h E l m i N k a
helmingi	h E l m i J c I
helminginn	h E l m i J c I n
helmingnum	h E l m i N k n Y m
helmings	h E l m i N k s
helmingur	h E l m i N k Y r
helmingurinn	h E l m i N k Y r I n
helsingborg	h E l s i N p O r k
helsinki	h E l s i J_0 c I
helsta	h E l s t a
helstar	h E l s t a r
helsti	h E l s t I
helstu	h E l s t Y
helstum	h E l s t Y m
heltekin	h E l t E c I n
heltekinn	h E l t E c I n
heltekið	h E l t E c I D
heltikasta	h E l t I k a s t a
heltók	h E l t ou k
helvískur	h E l v i s k Y r
helvíti	h E l v i t I
helvítin	h E l v i t I n
helvítis	h E l v i t I s
hemil	h E: m I l
hemja	h E m j a
hemlaði	h E m l a D I
hemlum	h E m l Y m
hempu	h E m_0 p Y
hendandi	h E n t a n t I
hendi	h E n t I
hendina	h E n t I n a
hendingar	h E n t i N k a r
hendingin	h E n t i J c I n
hendingskasti	h E n t i N k s k a s t I
hendingu	h E n t i N k Y
hendingum	h E n t i N k Y m
hendinni	h E n t I n I
hendir	h E n t I r
hendist	h E n t I s t
hendur	h E n t Y r
hendurnar	h E n t Y t n a r
hengd	h ei N t
hengdi	h ei N t I
hengdir	h ei N t I r
hengi	h ei J c I
hengir	h ei J c I r
hengirúminu	h ei J c I r u: m I n Y
hengið	h ei J c I D
hengja	h ei J c a
hengt	h ei N_0 t
henni	h E n I
henning	h E n i N k
henningsson	h E n i N k s O: n
henningssyni	h E n i N k s I: n I
henný	h E n i
henrik	h E n r I k
henriksson	h E n r I k s O: n
henry	h E n r i
henrý	h E n r i
hent	h E n_0 t
henta	h E n_0 t a
hentar	h E n_0 t a r
hentað	h E n_0 t a D
hentaði	h E n_0 t a D I
henti	h E n_0 t I
hentisemi	h E n_0 t I s E m I
hentu	h E n_0 t Y
hentug	h E n_0 t Y G
hentugt	h E n_0 t Y x t
hentugur	h E n_0 t Y G Y r
hentum	h E n_0 t Y m
hentust	h E n_0 t Y s t
hentuðu	h E n_0 t Y D Y
heppilega	h E h p I l E G a
heppilegast	h E h p I l E G a s t
heppilegra	h E h p I l E G r a
heppilegt	h E h p I l E x t
heppilegur	h E h p I l E G Y r
heppin	h E h p I n
heppinn	h E h p I n
heppna	h E h p n a
heppnari	h E h p n a r I
heppnast	h E h p n a s t
heppnað	h E h p n a D
heppnaða	h E h p n a D a
heppnaðar	h E h p n a D a r
heppnaðist	h E h p n a D I s t
heppni	h E h p n I
heppnin	h E h p n I n
heppnina	h E h p n I n a
heppnir	h E h p n I r
heppnuð	h E h p n Y D
her	h E: r
hera	h E: r a
herbergin	h E r p E c I n
herberginu	h E r p E c I n Y
herbergisins	h E r p E c I s I n s
herbergið	h E r p E c I D
herbergja	h E r p E c a
herbergjanna	h E r p E c a n a
herbergjum	h E r p E c Y m
herbergjunum	h E r p E c O n Y m
herbert	h E r p E r_0 t
herbúðanna	h E r p u D a n a
herdeildarbókara	h E r t ei l t a r p ou: k a r a
herdeildarbókarinn	h E r t ei l t a r p ou: k a r I n
herdeildarforinginn	h E r t ei l t a r f O: r i J c I n
herdeildarforingja	h E r t ei l t a r f O: r i J c a
herdeildin	h E r t ei l t I n
herdeildina	h E r t ei l t I n a
herdeildir	h E r t ei l t I r
herdeildirnar	h E r t ei l t I t n a r
herdísar	h E r t i s a r
herdísi	h E r t i s I
herfan	h E r v a n
herfi	h E r v I
herfilega	h E r v I l E G a
herforingjar	h E r_0 f O r i J c a r
herforingjarnir	h E r_0 f O r i J c a t n I r
herforingjum	h E r_0 f O r i J c Y m
herfylkingarinnar	h E r_0 f I l_0 c i N k a r I n a r
herfylkingin	h E r_0 f I l_0 c i J c I n
herfylkishöfðingi	h E r_0 f I l_0 c I s h 9 v D i J c I
herinn	h E: r I n
herirnir	h E: r I t n I r
herja	h E r j a
herjar	h E r j a r
herjað	h E r j a D
herjaði	h E r j a D I
herjólfi	h E r j ou l v I
herjólfs	h E r j ou l v s
herjólfur	h E r j ou l v Y r
herkjum	h E r_0 c Y m
herkúles	h E r_0 k u l E s
herkúlesblýant	h E r_0 k u l E s p l i: a n_0 t
herlegheitin	h E r l E G h ei: t I n
herma	h E r m a
hermansson	h E r m a n s O: n
hermdarverk	h E m t a r v E r_0 k
hermdarverka	h E r m t a r v E r_0 k a
hermdi	h E r m t I
hermdu	h E r m t Y
hermennina	h E r m E n I n a
hermi	h E r m I
hermir	h E r m I r
hermt	h E r m_0 t
hermína	h E r m i n a
hernað	h E r t n a D
hernaðar	h E r t n a D a r
hernaði	h E r t n a D I
hernaðinum	h E r t n a D I n Y m
hernum	h E r t n Y m
hernumdar	h E r t n Y m t a r
hernumdu	h E r n Y m t Y
herpast	h E r_0 p a s t
herpes	h E r_0 p E s
herpist	h E r_0 p I s t
herprestinn	h E r p r E s t I n
herprestinum	h E r p r E s t I n Y m
herprestsins	h E r p r E s t s I n s
herpresturinn	h E r p r E s t Y r I n
herpt	h E r_0 t
herptan	h E r_0 t a n
herptar	h E r_0 t a r
herptist	h E r_0 t I s t
herptust	h E r_0 t Y s t
herra	h E r a
herrans	h E r a n s
herranum	h E r a n Y m
herrar	h E r a r
herráðinu	h E r au D I n Y
herréttinum	h E r j E h t I n Y m
hers	h E r_0 s
hersat	h E r_0 s a t
herseta	h E r_0 s E t a
hershöfðinginn	h E r_0 s h 9 v D i J c I n
hersing	h E r_0 s i N k
hersingin	h E r_0 s i J c I n
hersins	h E r_0 s I n s
herskipin	h E r_0 s c I p I n
herskálakamp	h E r_0 s k au l a k a m_0 p
herskólakampi	h E r_0 s k ou l a k a m_0 p I
herslumuninn	h E r_0 s t l Y m Y: n I n
herstjórnarinnar	h E r_0 s t j ou r t n a r I n a r
herstjórnarskrifstofunni	h E r_0 s t j ou r t n a r s k r I f s t O v Y n I
hersveitar	h E r_0 s v ei t a r
hert	h E r_0 t
hertar	h E r_0 t a r
herti	h E r_0 t I
hertist	h E r_0 t I s t
hertogarnir	h E r_0 t O G a t n I r
hertri	h E r_0 t r I
hertsa	h E r_0 t s a
hertu	h E r_0 t Y
herða	h E r D a
herðabreiður	h E r D a p r ei: D Y r
herðar	h E r D a r
herðarnar	h E r D a t n a r
herði	h E r D I
herðir	h E r D I r
herðubreið	h E r D Y p r ei: D
herðum	h E r D Y m
heróíni	h E: r ou i n I
herör	h E: r 9 r
herþjónustunni	h E r_0 T j ou n Y s t Y n I
hespa	h E s p a
hess	h E s
hest	h E s t
hesta	h E s t a
hestaats	h E s t a a t s
hestafla	h E s t a p l a
hestakerrur	h E s t a c_h E r Y r
hestamennskunnar	h E s t a m E n s k Y n a r
hestana	h E s t a n a
hestar	h E s t a r
hestarekur	h E s t a r E: k Y r
hestarnir	h E s t a t n I r
hestasveinninn	h E s t a s v ei t n I n
hestbak	h E s t p a k
hestbaki	h E s t p a c I
hesthemlar	h E s t h E m l a r
hesthús	h E s t h u s
hesthúsi	h E s t h u s I
hesthúsinu	h E s t h u s I n Y
hesthúsið	h E s t h u s I D
hesti	h E s t I
hestinn	h E s t I n
hestinum	h E s t I n Y m
hestsins	h E s t s I n s
hestum	h E s t Y m
hestunum	h E s t O n Y m
hestur	h E s t Y r
hesturinn	h E s t Y r I n
hestvagni	h E s t v a k n I
hestöfl	h E s t 9 p l_0
hestöflum	h E s t 9 p l Y m
hetja	h E: t j a
hetjan	h E: t j a n
hetju	h E: t j Y
hetjum	h E: t j Y m
hetjuna	h E: t j Y n a
hetjur	h E: t j Y r
hetjurnar	h E: t j Y t n a r
hetti	h E h t I
hettu	h E h t Y
hettum	h E h t Y m
hettumunka	h E h t Y m u N_0 k a
hettuna	h E h t Y n a
hettunni	h E h t Y n I
hey	h ei:
heyi	h ei j I
heyinu	h ei j I n Y
heyið	h ei j I D
heyja	h ei j a
heyjað	h ei j a D
heykvísl	h ei: k v i s t l_0
heyr	h ei: r
heyra	h ei: r a
heyranda	h ei: r a n t a
heyrast	h ei: r a s t
heyri	h ei: r I
heyrir	h ei: r I r
heyrirðu	h ei: r I r Y
heyrist	h ei: r I s t
heyriði	h ei: r I D I
heyrn	h ei r t n_0
heyrnartólið	h ei r t n a r t ou: l I D
heyrnina	h ei r t n I n a
heyrst	h ei r_0 s t
heyrt	h ei r_0 t
heyrum	h ei: r Y m
heyrði	h ei r D I
heyrðirðu	h ei r D I r Y
heyrðist	h ei r D I s t
heyrðu	h ei r D Y
heyrðum	h ei r D Y m
heyrðust	h ei r D Y s t
heyrðuð	h ei r D Y D
heyskap	h ei: s k a p
heyskapinn	h ei: s k a p I n
heður	h ei: D Y r
hik	h I: k
hika	h I: k a
hikandi	h I: k a n t I
hikar	h I: k a r
hikað	h I: k a D
hikaði	h I: k a D I
hiki	h I: c I
hikið	h I: c I D
hiks	h I: k s
hikstar	h I k s t a r
hikstaði	h I k s t a D I
hikuðu	h I: k Y D Y
hilda	h I l t a
hildar	h I l t a r
hildi	h I l t I
hildigunni	h I l t I k Y n I
hildigunnur	h I l t I k Y n Y r
hildur	h I l t Y r
hilla	h I t l a
hillingum	h I t l i N k Y m
hillu	h I t l Y
hillum	h I t l Y m
hilluna	h I t l Y n a
hillunni	h I t l Y n I
hillur	h I t l Y r
hilma	h I l m a
hilmar	h I l m a r
hilmari	h I l m a r I
hilmars	h I l m a r_0 s
hilmir	h I l m I r
hilmu	h I l m Y
hilton	h I l_0 t O n
himbrimapör	h I m p r I m a p_h 9: r
himbrimi	h I m p r I m I
himin	h I: m I n
himinbjarga	h I: m I n p j a r k a
himinbláa	h I: m I n p l au: a
himinbláum	h I: m I n p l au: Y m
himinhvolfinu	h I: m I n k v O l v I n Y
himinhvolfsins	h I: m I n k_h v O l s I n s
himininn	h I: m I n I n
himinn	h I: m I n
himinninn	h I: m I n I n
himinríkis	h I: m I n r i: c I s
himins	h I: m I n s
himinsins	h I: m I n s I n s
himintungla	h I: m I n t u N l a
himmi	h I m I
himna	h I m n a
himnanna	h I m n a n a
himnarnir	h I m n a t n I r
himnaríkis	h I m n a r i: c I s
himnesk	h I m n E s k
himneska	h I m n E s k a
himneski	h I m n E s c I
himneskrar	h I m n E s k r a r
himneskri	h I m n E s k r I
himnesku	h I m n E s k Y
himni	h I m n I
himninum	h I m n I n Y m
himnum	h I m n Y m
hin	h I: n
hina	h I: n a
hinar	h I: n a r
hind	h I n t
hindra	h I n t r a
hindranir	h I n t r a n I r
hindrar	h I n t r a r
hindrað	h I n t r a D
hindraði	h I n t r a D I
hindrun	h I n t r Y n
hindrunum	h I n t r Y n Y m
hindúa	h I n t u a
hingað	h i N k a D
hinir	h I: n I r
hinkra	h i N_0 k r a
hinkraði	h i N_0 k r a D I
hinna	h I n a
hinnar	h I n a r
hinni	h I n I
hinrik	h I n r I k
hinriks	h I n r I k s
hins	h I n s
hinsegin	h I n s ei j I n
hinsta	h I n s t a
hinstu	h I n s t Y
hinsvegar	h I n s v E G a r
hinu	h I: n Y
hinum	h I: n Y m
hipp	h I h p
hippar	h I h p a r
hippi	h I h p I
hirsi	h I r_0 s I
hirslur	h I r_0 s t l Y r
hirst	h I r_0 s t
hirt	h I r_0 t
hirti	h I r_0 t I
hirtu	h I r_0 t Y
hirtum	h I r_0 t Y m
hirtur	h I r_0 t Y r
hirð	h I r D
hirða	h I r D a
hirðir	h I r D I r
hirðirinn	h I r D I r I n
hirðuleysislega	h I r D Y l ei s I s t l E G a
hisminu	h I s m I n Y
